Name of project,Status,Risk Score,Total Vuln,Vuln (Critical),Vuln (High),Vuln (Medium),Vuln (Low),Vuln (Unassign)
src.nodejs.blog-strapi-marktawa.trivy,unknown,,,,,,,
src.nodejs.bulletproof-nodejs-template.cdxgen,unknown,,,,,,,
src.nodejs.bulletproof-nodejs-template.syft,unknown,,,,,,,
src.nodejs.bulletproof-nodejs-template.trivy,unknown,,,,,,,
src.nodejs.bulletproof-nodejs.cdxgen,unknown,,,,,,,
src.nodejs.bulletproof-nodejs.syft,unknown,,,,,,,
src.nodejs.bulletproof-nodejs.trivy,unknown,,,,,,,
src.nodejs.ecommerce-nuxt-template.cdxgen,unknown,,,,,,,
src.nodejs.ecommerce-nuxt-template.syft,unknown,,,,,,,
src.nodejs.ecommerce-nuxt-template.trivy,unknown,,,,,,,
src.nodejs.example-app-node-prisma.cdxgen,unknown,,,,,,,
src.nodejs.example-app-node-prisma.syft,unknown,,,,,,,
src.nodejs.example-app-node-prisma.trivy,unknown,,,,,,,
src.nodejs.express-sequelize-boilerplate.cdxgen,unknown,,,,,,,
src.nodejs.express-sequelize-boilerplate.syft,unknown,,,,,,,
src.nodejs.express-sequelize-boilerplate.trivy,unknown,,,,,,,
src.nodejs.express.cdxgen,unknown,,,,,,,
src.nodejs.express.syft,unknown,,,,,,,
src.nodejs.express.trivy,unknown,,,,,,,
src.nodejs.fullstack-react-express-material-design.cdxgen,unknown,,,,,,,
src.nodejs.fullstack-react-express-material-design.syft,unknown,,,,,,,
src.nodejs.fullstack-react-express-material-design.trivy,unknown,,,,,,,
src.nodejs.fullstack-react-node-postgresql.cdxgen,unknown,,,,,,,
src.nodejs.fullstack-react-node-postgresql.syft,unknown,,,,,,,
src.nodejs.fullstack-react-node-postgresql.trivy,unknown,,,,,,,
src.nodejs.koa-examples.cdxgen,unknown,,,,,,,
src.nodejs.koa-examples.syft,unknown,,,,,,,
src.nodejs.koa-examples.trivy,unknown,,,,,,,
src.nodejs.koa-knex-realworld-example.cdxgen,unknown,,,,,,,
src.nodejs.koa-knex-realworld-example.syft,unknown,,,,,,,
src.nodejs.koa-knex-realworld-example.trivy,unknown,,,,,,,
src.nodejs.koa.cdxgen,unknown,,,,,,,
src.nodejs.koa.syft,unknown,,,,,,,
src.nodejs.koa.trivy,unknown,,,,,,,
src.nodejs.mern-blog-app-sradhe545.cdxgen,unknown,,,,,,,
src.nodejs.mern-blog-app-sradhe545.syft,unknown,,,,,,,
src.nodejs.mern-blog-app-sradhe545.trivy,unknown,,,,,,,
src.nodejs.mern-ecommerce-hrutavmodha.cdxgen,unknown,,,,,,,
src.nodejs.mern-ecommerce-hrutavmodha.syft,unknown,,,,,,,
src.nodejs.mern-ecommerce-hrutavmodha.trivy,unknown,,,,,,,
src.nodejs.nest.cdxgen,unknown,,,,,,,
src.nodejs.nest.syft,unknown,,,,,,,
src.nodejs.nest.trivy,unknown,,,,,,,
src.nodejs.nestjs-graphql-prisma-realworld.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-graphql-prisma-realworld.syft,unknown,,,,,,,
src.nodejs.nestjs-graphql-prisma-realworld.trivy,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-adr1en.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-adr1en.syft,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-adr1en.trivy,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-lujakob.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-lujakob.syft,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-lujakob.trivy,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mikroorm.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mikroorm.syft,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mikroorm.trivy,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mutoe.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mutoe.syft,unknown,,,,,,,
src.nodejs.nestjs-realworld-example-mutoe.trivy,unknown,,,,,,,
src.nodejs.nestjs-typeorm-starter.cdxgen,unknown,,,,,,,
src.nodejs.nestjs-typeorm-starter.syft,unknown,,,,,,,
src.nodejs.nestjs-typeorm-starter.trivy,unknown,,,,,,,
src.nodejs.node-express-backend-template.cdxgen,unknown,,,,,,,
src.nodejs.node-express-backend-template.syft,unknown,,,,,,,
src.nodejs.node-express-backend-template.trivy,unknown,,,,,,,
src.nodejs.node-express-boilerplate.cdxgen,unknown,,,,,,,
src.nodejs.node-express-boilerplate.syft,unknown,,,,,,,
src.nodejs.node-express-boilerplate.trivy,unknown,,,,,,,
src.nodejs.node-express-prisma-realworld.cdxgen,unknown,,,,,,,
src.nodejs.node-express-prisma-realworld.syft,unknown,,,,,,,
src.nodejs.node-express-prisma-realworld.trivy,unknown,,,,,,,
src.nodejs.node-express-sequelize-boilerplate.cdxgen,unknown,,,,,,,
